mid,times,player_0,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9
0,60,1,2,1,1,2,3,2,7,1,2
0,120,1,5,1,2,6,5,6,14,1,6
0,180,2,10,1,7,8,9,9,18,1,9
0,240,2,13,1,13,12,9,12,29,1,10
0,300,2,15,1,17,19,13,13,36,1,19
0,360,2,20,1,20,24,16,17,42,1,31
0,420,3,26,1,28,30,16,21,52,1,31
0,480,4,36,1,36,35,16,28,63,2,36
0,540,4,37,2,43,40,25,30,72,2,38
0,600,4,43,3,57,41,34,35,75,2,46
1,60,1,2,1,3,3,1,3,1,2,5
1,120,1,5,4,4,7,4,4,1,8,8
1,180,1,13,9,4,14,7,9,1,14,13
1,240,1,20,9,7,19,13,10,1,15,17
1,300,1,23,9,12,24,18,12,2,16,18
1,360,4,29,9,20,29,25,14,2,18,20
1,420,4,37,9,21,37,26,14,2,25,29
1,480,4,48,13,24,41,32,16,2,25,34
1,540,5,54,14,28,47,46,20,2,27,39
1,600,5,63,14,28,47,49,23,3,30,39
2,60,1,1,3,4,1,2,2,3,2,1
2,120,6,1,13,10,1,4,3,10,2,2
2,180,12,1,19,10,4,4,5,16,2,2
2,240,16,1,26,17,7,6,5,21,2,2
2,300,17,3,26,20,7,6,5,30,4,4
2,360,21,4,32,25,12,6,5,32,4,5
2,420,24,5,43,28,14,6,5,40,7,5
2,480,26,6,54,34,16,6,10,47,9,5
2,540,27,6,61,40,20,6,12,53,12,8
2,600,34,6,69,42,23,6,12,56,13,12
3,60,1,3,3,1,2,1,4,1,3,1
3,120,1,4,9,1,3,2,13,1,6,1
3,180,1,5,13,1,7,8,19,1,10,2
3,240,1,12,19,1,12,10,21,1,13,2
3,300,1,16,23,1,17,19,28,1,17,7
3,360,1,21,23,3,25,20,35,1,28,8
3,420,1,29,23,3,27,26,42,1,31,8
3,480,1,39,29,3,30,26,45,5,36,8
3,540,1,43,38,3,31,27,50,6,46,8
3,600,1,49,48,3,31,28,51,6,50,8
4,60,2,3,3,1,1,3,2,2,1,1
4,120,4,6,7,2,2,9,2,7,3,1
4,180,5,10,13,4,2,14,2,9,8,2
4,240,5,15,16,7,2,17,2,13,13,3
4,300,9,19,20,9,2,18,3,16,14,4
4,360,10,24,26,9,3,24,3,19,23,4
4,420,15,26,34,15,3,24,3,21,26,4
4,480,20,28,40,19,3,26,6,23,34,4
4,540,27,35,45,23,4,26,9,23,36,6
4,600,30,41,45,23,4,26,9,23,37,6
5,60,2,1,2,3,1,2,2,3,1,1
5,120,5,2,4,7,1,2,3,7,2,7
5,180,7,3,5,12,1,6,8,9,2,9
5,240,16,3,7,19,2,10,9,14,2,9
5,300,21,3,10,25,2,14,13,19,2,9
5,360,28,3,13,26,3,18,16,25,5,10
5,420,32,4,14,28,3,26,18,31,5,12
5,480,38,4,14,30,3,32,20,38,6,12
5,540,41,5,15,30,3,36,20,46,7,14
5,600,42,5,16,30,3,42,24,53,12,14
6,60,3,1,1,2,2,2,3,1,1,1
6,120,6,8,1,5,2,4,6,4,1,1
6,180,13,13,1,7,2,10,9,5,1,1
6,240,18,18,1,12,2,13,17,9,1,1
6,300,26,23,5,15,2,21,18,14,1,1
6,360,32,29,8,21,4,25,21,18,2,1
6,420,40,38,9,26,4,34,21,23,2,2
6,480,46,38,9,30,5,36,27,24,9,2
6,540,47,45,10,32,6,37,29,24,9,9
6,600,48,46,10,32,13,39,30,26,10,18
7,60,5,3,2,1,2,2,2,1,1,2
7,120,9,3,6,3,5,7,8,3,1,2
7,180,14,4,6,7,12,12,9,7,1,2
7,240,18,5,6,12,18,14,9,15,1,2
7,300,23,5,8,17,23,17,10,16,1,6
7,360,25,8,8,24,23,19,16,19,1,6
7,420,25,10,13,30,23,27,19,23,1,9
7,480,30,10,20,32,23,32,27,24,1,9
7,540,30,10,23,34,23,32,35,27,2,9
7,600,38,10,23,35,26,32,36,40,2,13
8,60,4,1,3,5,1,1,1,1,5,1
8,120,7,1,7,12,1,6,6,1,9,1
8,180,9,1,15,18,6,6,14,2,10,1
8,240,15,1,17,20,6,10,21,3,14,1
8,300,19,1,23,25,9,13,29,3,17,1
8,360,19,1,25,29,13,18,39,3,21,1
8,420,25,1,31,34,18,26,40,3,29,1
8,480,36,1,35,38,18,30,51,3,32,2
8,540,49,1,36,43,18,32,59,3,38,2
8,600,50,8,45,50,18,39,75,3,43,2
9,60,2,3,1,3,1,4,2,1,1,3
9,120,2,5,1,9,1,9,6,2,1,8
9,180,2,10,5,17,1,12,8,5,1,15
9,240,3,15,6,21,2,14,9,5,2,18
9,300,3,18,6,27,2,18,12,7,2,26
9,360,3,23,8,36,5,20,14,8,2,30
9,420,4,26,15,36,5,24,20,9,2,35
9,480,4,28,20,41,6,27,26,10,2,40
9,540,4,31,24,48,9,27,27,14,3,47
9,600,9,38,26,48,9,27,31,14,4,53
10,60,1,1,3,2,1,1,1,1,4,3
10,120,1,1,6,7,4,1,5,2,9,6
10,180,1,2,6,8,9,2,7,4,15,9
10,240,1,2,10,13,17,2,8,7,20,12
10,300,4,3,13,16,24,4,13,12,24,15
10,360,5,3,14,21,26,5,14,17,27,18
10,420,7,3,14,25,30,7,14,19,27,20
10,480,12,3,14,27,35,8,16,23,31,26
10,540,12,3,18,27,40,9,17,25,37,27
10,600,15,4,24,31,45,12,17,28,41,29
11,60,2,1,3,1,4,3,1,2,1,1
11,120,8,2,7,6,6,10,1,5,2,8
11,180,10,2,14,12,10,16,1,8,2,14
11,240,14,2,20,15,10,24,1,15,2,18
11,300,14,2,25,18,16,29,1,19,2,23
11,360,15,3,31,24,19,35,1,23,2,28
11,420,18,4,31,25,29,41,1,25,2,32
11,480,26,5,34,26,38,48,23,27,2,36
11,540,29,5,39,32,40,50,31,30,2,38
11,600,31,5,43,39,45,51,38,32,2,46
12,60,1,3,4,1,3,1,2,2,2,3
12,120,1,7,9,6,3,5,3,2,5,9
12,180,1,10,14,12,4,6,4,7,10,15
12,240,2,14,15,16,4,8,4,7,17,21
12,300,3,14,19,21,5,10,5,9,25,28
12,360,5,15,20,29,5,16,6,10,29,34
12,420,5,18,25,32,5,17,7,14,29,37
12,480,8,23,31,32,7,21,8,17,39,46
12,540,9,29,37,36,9,25,8,21,39,51
12,600,10,35,42,37,10,27,9,21,46,60
13,60,2,1,1,4,1,3,4,1,1,2
13,120,4,1,1,10,5,10,8,3,5,2
13,180,9,4,2,20,6,18,16,3,8,2
13,240,14,5,2,28,9,24,20,3,9,3
13,300,19,5,3,34,10,32,26,3,16,3
13,360,19,6,6,43,15,37,31,3,21,3
13,420,29,6,6,46,16,41,40,3,25,3
13,480,32,6,6,48,19,53,50,3,29,4
13,540,38,6,6,57,25,60,56,3,30,4
13,600,40,8,6,62,27,70,63,5,42,4
14,60,2,2,4,2,2,4,1,3,1,2
14,120,5,9,6,2,6,7,1,6,1,5
14,180,6,15,7,2,7,12,1,9,1,9
14,240,10,21,12,3,13,14,2,18,2,15
14,300,10,27,18,4,14,18,2,20,2,19
14,360,12,35,20,4,18,26,2,24,2,24
14,420,14,36,20,6,24,29,2,26,3,26
14,480,18,43,23,7,28,34,2,34,3,30
14,540,18,48,30,7,35,42,4,36,3,35
14,600,24,56,36,7,40,46,4,36,3,37
15,60,2,1,1,3,4,5,1,4,2,1
15,120,4,1,1,5,9,15,2,8,3,1
15,180,7,1,1,9,17,20,3,9,3,1
15,240,9,1,2,10,28,27,5,14,3,1
15,300,12,1,4,13,32,34,5,19,3,1
15,360,17,1,4,17,38,41,6,27,3,1
15,420,17,1,4,19,40,41,6,36,5,3
15,480,31,1,6,24,47,49,7,38,5,3
15,540,43,4,6,26,52,54,9,41,6,6
15,600,54,12,7,27,54,61,10,42,6,7
16,60,1,2,3,1,3,1,5,2,1,4
16,120,1,3,5,1,4,1,9,2,3,7
16,180,1,3,6,1,4,1,13,4,3,8
16,240,2,3,6,5,4,1,16,4,3,13
16,300,5,5,10,5,4,3,21,4,8,15
16,360,6,5,16,5,5,6,26,4,13,17
16,420,6,5,20,5,6,7,30,4,18,17
16,480,7,5,20,9,6,8,34,4,18,17
16,540,10,7,23,9,6,10,41,4,21,21
16,600,13,8,29,12,6,12,45,4,23,21
17,60,2,1,2,3,2,2,1,1,1,2
17,120,3,5,4,4,3,3,1,5,6,6
17,180,8,7,9,6,7,3,1,6,12,10
17,240,8,10,14,6,9,3,3,7,14,15
17,300,8,13,18,6,15,5,3,8,17,20
17,360,12,16,18,6,17,5,4,13,23,26
17,420,12,19,18,9,23,6,8,15,25,30
17,480,12,19,19,10,27,10,8,16,28,40
17,540,13,23,20,10,31,10,8,19,35,49
17,600,13,23,20,17,35,17,8,19,36,57
18,60,3,3,1,1,4,3,3,1,4,1
18,120,8,6,3,1,6,7,4,1,7,1
18,180,10,6,3,1,13,10,5,1,16,2
18,240,17,8,3,3,17,14,6,1,23,3
18,300,23,15,3,3,23,14,7,1,28,3
18,360,27,17,4,3,28,17,8,1,34,3
18,420,27,18,4,3,30,18,14,1,38,3
18,480,31,20,6,3,34,18,19,1,46,3
18,540,38,24,6,3,37,21,20,3,53,5
18,600,41,24,6,3,39,24,20,6,61,5
19,60,4,2,1,1,4,1,1,1,4,3
19,120,8,6,1,1,4,5,1,2,9,7
19,180,17,9,2,2,4,9,1,2,16,7
19,240,18,16,2,3,4,13,1,3,21,10
19,300,30,20,2,3,7,14,1,4,28,14
19,360,37,24,2,3,9,15,2,4,35,18
19,420,40,27,2,5,10,17,2,6,46,23
19,480,40,38,2,6,12,18,2,6,50,24
19,540,45,41,2,9,12,18,3,6,57,28
19,600,51,47,2,9,12,18,4,6,63,35
20,60,1,1,4,1,2,1,1,2,5,3
20,120,1,5,9,3,6,3,1,6,10,3
20,180,1,7,12,3,10,9,1,12,17,3
20,240,1,9,14,4,14,13,1,17,25,4
20,300,1,9,19,4,19,18,1,23,27,4
20,360,2,12,25,5,24,21,2,29,34,5
20,420,2,12,26,7,27,25,3,29,39,5
20,480,2,16,30,8,27,26,3,36,43,5
20,540,3,16,30,9,27,28,3,39,48,5
20,600,3,21,31,10,31,36,3,43,50,6
21,60,1,1,5,1,3,2,1,1,1,3
21,120,1,3,13,1,7,3,1,1,7,8
21,180,1,8,17,1,8,8,1,2,8,12
21,240,1,9,25,1,13,13,1,2,8,17
21,300,1,9,36,1,17,15,1,4,8,23
21,360,1,13,41,1,18,24,2,4,10,28
21,420,1,18,47,1,21,24,2,4,10,28
21,480,1,23,50,1,25,32,2,4,16,30
21,540,1,24,62,1,26,35,3,5,16,37
21,600,4,29,64,1,28,46,4,5,16,47
22,60,1,1,2,1,2,2,2,4,1,1
22,120,1,1,6,3,10,3,7,5,1,1
22,180,1,1,13,7,12,8,13,10,1,2
22,240,1,1,15,13,19,12,16,10,1,2
22,300,1,1,18,16,27,14,19,14,1,3
22,360,2,1,23,19,34,18,19,16,1,3
